num_schools,nnd,polarisation,visual_range,alignment_force,cohesion_force,field_of_view
18.0,61.36988045929727,0.1063097012857647,30,0.3,0.03,180
16.2,59.63643134084159,0.07085359733147081,30,0.3,0.03,270
17.2,60.348327340980006,0.10380957755437988,30,0.3,0.03,360
14.2,58.781837362667034,0.18247741708748658,30,0.3,0.05,180
15.8,61.66650278120901,0.08932017115457336,30,0.3,0.05,270
17.0,61.96966146349082,0.17643117613425496,30,0.3,0.05,360
17.4,57.8583169157439,0.13316223604773514,30,0.3,0.07,180
16.2,60.46823636041186,0.1511928842208449,30,0.3,0.07,270
15.4,57.26826788432909,0.1392572479412158,30,0.3,0.07,360
18.2,60.16362878915398,0.011763323202951715,30,0.5,0.03,180
16.6,59.246504055056946,0.07777787391365495,30,0.5,0.03,270
17.2,57.1030137348738,0.104795933938683,30,0.5,0.03,360
17.6,59.081585163161755,0.11687560702111914,30,0.5,0.05,180
15.8,60.52191620304634,0.06862965924303012,30,0.5,0.05,270
15.6,57.36503288455716,0.08042785118250431,30,0.5,0.05,360
16.4,55.529877941812096,0.15193454233736695,30,0.5,0.07,180
16.0,59.0831037546305,0.15376916577070127,30,0.5,0.07,270
14.6,55.70089228792224,0.12039245459814489,30,0.5,0.07,360
13.0,59.19664443799386,0.05759213606023682,30,0.7,0.03,180
16.4,56.17184692092415,0.069955456283878,30,0.7,0.03,270
18.6,57.89324586488647,0.1368589651591372,30,0.7,0.03,360
16.6,60.20914814626836,0.028842680567002184,30,0.7,0.05,180
14.8,56.46785715211519,0.17430344696985728,30,0.7,0.05,270
15.2,52.531091330442976,0.11470475427272404,30,0.7,0.05,360
14.0,59.51820386377652,0.059817471649714904,30,0.7,0.07,180
12.2,57.769856248024794,0.08935714751704157,30,0.7,0.07,270
11.2,55.015927056337866,0.16563115311714866,30,0.7,0.07,360
13.6,57.681645036196095,0.17339170789675806,50,0.3,0.03,180
12.0,56.092493308591465,0.05422736332906579,50,0.3,0.03,270
12.0,55.61103403251143,0.18289923157158322,50,0.3,0.03,360
13.6,57.19965481977081,0.10936892846749477,50,0.3,0.05,180
17.4,57.09137494482185,0.052735858790889614,50,0.3,0.05,270
11.0,54.69344203615211,0.10386483106267357,50,0.3,0.05,360
15.4,57.20135834676552,0.07852712631050016,50,0.3,0.07,180
13.6,57.818020251979405,0.0438548225949388,50,0.3,0.07,270
13.2,50.87076976420124,0.10562399974255565,50,0.3,0.07,360
15.8,55.38900916545074,0.046092564410165474,50,0.5,0.03,180
10.8,47.50444337260049,0.20546597045310994,50,0.5,0.03,270
8.2,46.21764474159038,0.08944163817693931,50,0.5,0.03,360
13.0,58.312054121930444,0.15365049873877798,50,0.5,0.05,180
12.2,53.16180387304858,0.07867240512466342,50,0.5,0.05,270
9.8,48.09148132519975,0.09020236621254132,50,0.5,0.05,360
13.8,51.82747356182769,0.0927130573342799,50,0.5,0.07,180
12.0,52.32116720771306,0.07653083627884213,50,0.5,0.07,270
11.8,47.315290960825735,0.07419087298827728,50,0.5,0.07,360
10.6,53.81331324475925,0.11688062765028853,50,0.7,0.03,180
12.4,49.70088681619201,0.08032483153076354,50,0.7,0.03,270
11.2,47.94214760908144,0.1059321539799096,50,0.7,0.03,360
13.6,51.919658436241946,0.19972211094833922,50,0.7,0.05,180
12.0,48.44883381846672,0.08341186126358516,50,0.7,0.05,270
11.2,44.8817741207251,0.08222568842228918,50,0.7,0.05,360
12.6,49.00062726977014,0.11280071866229124,50,0.7,0.07,180
12.2,47.62825570674187,0.16842895168209135,50,0.7,0.07,270
10.8,46.80736381013452,0.06473474531414027,50,0.7,0.07,360
15.2,52.36653639997127,0.11224518648431096,70,0.3,0.03,180
10.2,45.598631656458394,0.19111392012154843,70,0.3,0.03,270
9.0,41.82673296277075,0.13017327200355472,70,0.3,0.03,360
13.6,54.85557862248423,0.11634783850723969,70,0.3,0.05,180
14.8,50.285871192762606,0.1495789446371977,70,0.3,0.05,270
11.2,46.43056669643265,0.0836252138161125,70,0.3,0.05,360
13.8,52.059823613421074,0.15587719879023237,70,0.3,0.07,180
12.2,45.77436759311678,0.10453518861597685,70,0.3,0.07,270
11.4,41.612428077994885,0.17106277201821682,70,0.3,0.07,360
12.4,51.05242826197873,0.17731596980784695,70,0.5,0.03,180
13.6,51.99478125708943,0.0662505166546082,70,0.5,0.03,270
8.2,42.72008229207703,0.12629884564845026,70,0.5,0.03,360
14.2,52.817835678352914,0.05411556073878913,70,0.5,0.05,180
12.0,47.802747121768455,0.0877807245944989,70,0.5,0.05,270
6.6,40.00023086432692,0.16514890951846534,70,0.5,0.05,360
8.0,49.48807475834731,0.1251805385957953,70,0.5,0.07,180
10.2,51.96020497187929,0.10002541470856308,70,0.5,0.07,270
8.4,42.81962583978206,0.1469838806068639,70,0.5,0.07,360
14.2,48.292073689457254,0.13356009088052234,70,0.7,0.03,180
11.6,44.89469914891847,0.04328273242086335,70,0.7,0.03,270
9.8,39.94821543914521,0.11936507255635923,70,0.7,0.03,360
11.2,51.3895367361212,0.09434221262324882,70,0.7,0.05,180
13.2,47.62167615217597,0.0907574582456229,70,0.7,0.05,270
8.0,42.81164172495821,0.10226095561680179,70,0.7,0.05,360
12.6,49.692736628088824,0.15878970192472278,70,0.7,0.07,180
11.0,46.42496994800574,0.05359938270482658,70,0.7,0.07,270
5.2,38.642561029423376,0.20754267093123674,70,0.7,0.07,360
